,model_name,Price,Available
0,9001G1332530000,$699.99,Sold Out
1,900-1G133-2518-000,"$1,199.99",Sold Out
2,ROG-STRIX-RTX3080-O10G-V2-GAMING,"$1,179.99",Sold Out
3,RTX 3080 GAMING Z TRIO 10G LHR,"$1,199.00",Sold Out
4,RTX 3080 Ti Gaming X Trio 12G,"$1,799.99",Sold Out
5,RTX 3080 Ventus 3X 10G OC LHR,"$1,149.99",Sold Out
6,900-1G143-2515-000,$599.99,Sold Out
7,ROG-STRIX-RTX3080TI-O12G-GAMIN,"$2,099.99",Sold Out
8,TUF-RTX3080TI-O12G-GAMING,"$1,999.99",Sold Out
9,12G-P5-3967-KB,"$1,479.99",Sold Out
10,9001G1422510000,$499.99,Sold Out
11,GV-N3080AORUS M-10GD Rev3.0,"$1,129.99",Sold Out
12,GV-N3080AORUS X-10GD Rev2.0,"$1,149.99",Sold Out
13,GV-N308TVISION OC-12GD,"$1,599.99",Sold Out
14,GV-N308TGAMING OC-12GD,"$1,549.99",Sold Out
15,10G-P5-3885-KH,$899.99,Sold Out
16,GeForce RTX 3080 Ti VENTUS 3X 12G OC,"$1,799.99",Sold Out
17,ROG-STRIX-RTX3080-O10G-GAMING,"$1,149.99",Sold Out
18,GV-N308TAORUS M-12GD,"$1,649.99",Sold Out
19,GV-N3080VISION OC-10GD Rev2.0,"$1,029.99",Sold Out
20,GV-N3080GAMING OC -10GD Rev2.0,"$1,029.99",Sold Out
21,GV-N308TAORUS X-12GD,"$1,679.99",Sold Out
22,RTX 3080 VENTUS3XPLUS 10GOCLHR,"$1,149.00",Sold Out
23,10G-P5-3885-KB,$869.99,Sold Out
